path,issue,actual,expected,kb,mode,error
effects/ui/fx_ui_loading.png,dimension_mismatch,192x576,192x192,3.4,RGBA,
monsters/abyss/monster_abyss_abyssarcher_idle.png,dimension_mismatch,48x48,128x128,3.9,RGBA,
monsters/abyss/monster_abyss_abysslordelite_idle.png,dimension_mismatch,192x192,128x128,36.4,RGBA,
monsters/abyss/monster_abyss_shadowdemon_idle.png,dimension_mismatch,48x48,128x128,3.1,RGBA,
monsters/abyss/monster_abyss_shadowgolem_idle.png,dimension_mismatch,48x48,128x128,3.6,RGBA,
monsters/abyss/monster_abyss_voidrift_idle.png,dimension_mismatch,48x48,128x128,4.1,RGBA,
monsters/abyss/monster_abyss_voidwraith_idle.png,dimension_mismatch,48x48,128x128,3.7,RGBA,
monsters/catacombs/monster_catacombs_batswarm_idle.png,dimension_mismatch,48x48,128x128,4.0,RGBA,
monsters/catacombs/monster_catacombs_deathknight_idle.png,dimension_mismatch,64x64,128x128,6.7,RGBA,
monsters/catacombs/monster_catacombs_ghost_idle.png,dimension_mismatch,48x48,128x128,3.6,RGBA,
monsters/catacombs/monster_catacombs_ghoul_idle.png,dimension_mismatch,48x48,128x128,4.3,RGBA,
monsters/catacombs/monster_catacombs_skeleton_idle.png,dimension_mismatch,48x48,128x128,4.3,RGBA,
monsters/catacombs/monster_catacombs_skeletonarcher_idle.png,dimension_mismatch,48x48,128x128,4.0,RGBA,
monsters/forest/monster_forest_boar_idle.png,dimension_mismatch,48x48,128x128,4.3,RGBA,
monsters/forest/monster_forest_deerelite_idle.png,dimension_mismatch,192x192,128x128,30.5,RGBA,
monsters/forest/monster_forest_elfarcher_idle.png,dimension_mismatch,48x48,128x128,4.6,RGBA,
monsters/forest/monster_forest_mushroom_idle.png,dimension_mismatch,48x48,128x128,3.8,RGBA,
monsters/forest/monster_forest_slime_idle.png,dimension_mismatch,48x48,128x128,4.6,RGBA,
monsters/forest/monster_forest_treant_idle.png,dimension_mismatch,48x48,128x128,4.3,RGBA,
monsters/swamp/monster_swamp_gianttoad_idle.png,dimension_mismatch,192x192,128x128,26.8,RGBA,
monsters/swamp/monster_swamp_rottreant_idle.png,dimension_mismatch,48x48,128x128,3.9,RGBA,
monsters/swamp/monster_swamp_slimepoison_idle.png,dimension_mismatch,48x48,128x128,4.0,RGBA,
monsters/swamp/monster_swamp_swampdragon_idle.png,dimension_mismatch,192x192,128x128,32.5,RGBA,
monsters/swamp/monster_swamp_swampspider_idle.png,dimension_mismatch,48x48,128x128,4.3,RGBA,
monsters/swamp/monster_swamp_viper_idle.png,dimension_mismatch,48x48,128x128,4.9,RGBA,
monsters/tundra/monster_tundra_frostgiant_idle.png,dimension_mismatch,192x192,128x128,38.5,RGBA,
monsters/tundra/monster_tundra_frostmage_idle.png,dimension_mismatch,48x48,128x128,4.1,RGBA,
monsters/tundra/monster_tundra_iceskeleton_idle.png,dimension_mismatch,48x48,128x128,4.5,RGBA,
monsters/tundra/monster_tundra_penguinsoldier_idle.png,dimension_mismatch,64x64,128x128,5.9,RGBA,
monsters/tundra/monster_tundra_snowman_idle.png,dimension_mismatch,48x48,128x128,3.7,RGBA,
monsters/tundra/monster_tundra_snowwolf_idle.png,dimension_mismatch,48x48,128x128,4.1,RGBA,
monsters/volcano/monster_volcano_ashwraith_idle.png,dimension_mismatch,48x48,128x128,4.3,RGBA,
monsters/volcano/monster_volcano_demon_idle.png,dimension_mismatch,48x48,128x128,3.2,RGBA,
monsters/volcano/monster_volcano_fireelemental_idle.png,dimension_mismatch,48x48,128x128,3.5,RGBA,
monsters/volcano/monster_volcano_infernoelite_idle.png,dimension_mismatch,192x192,128x128,36.2,RGBA,
monsters/volcano/monster_volcano_lavaspider_idle.png,dimension_mismatch,48x48,128x128,4.4,RGBA,
monsters/volcano/monster_volcano_suicidegolem_idle.png,dimension_mismatch,48x48,128x128,4.6,RGBA,
ui/map/map_line.png,suspicious_tiny_file,2x16,"(2, 16)",0.1,RGBA,
